lat,lon,nombre
36.984297,-4.401465,20
37.067366,-4.3291802,7
37.14932,-4.2275714,183
37.3960048,-5.9445627,nodo_206120407
37.3615054,-6.0081004,12
37.3432164,-5.986364,9A
37.3418143,-5.9839558,9B
37.372475,-6.0248689,15A
37.3746018,-6.0271583,15B
37.3834851,-6.025582,17A
37.4095077,-5.9493326,nodo_206128434
37.4072927,-5.9518952,nodo_206128450
37.4057963,-5.9482638,0
37.4088677,-5.9493937,nodo_206129601
37.4077157,-5.949183,nodo_206129605
37.411463,-5.9368736,535
37.0732492,-4.6053218,146
37.1331098,-4.6977389,135
36.1734353,-5.4853668,85
36.1977279,-5.5152181,80
36.1662093,-5.4576646,1115
36.1935222,-5.4314451,1112 A
36.2621688,-5.3264502,1098
36.1975386,-5.3825073,3
36.2060106,-5.3843269,1
36.2074118,-5.3906851,1107
36.1449542,-5.4540928,1118
36.1603998,-5.4595293,1116A
36.1648771,-5.4583297,1115B
36.2044709,-5.4167187,1109
36.2029508,-5.4226502,1110
36.2063203,-5.4125074,1109
36.2049796,-5.4160805,1110
36.2073652,-5.3975221,1108
36.1830963,-5.4414567,1113
36.1827628,-5.4416317,1113
36.1889503,-5.4352044,1112 A
36.1433075,-5.4579729,nodo_241205260
36.1400476,-5.4604698,1119
36.1260103,-5.4631111,104
36.1307082,-5.4642714,105
36.1333706,-5.4627961,nodo_243289154
36.1226428,-5.4607133,104
36.115145,-5.4586806,1122
36.2076575,-5.4025524,1108
37.364923,-6.0319365,0B
37.3662714,-6.0324311,nodo_244018319
37.3690971,-6.032046,0A
37.3637246,-6.0312557,1
37.3713599,-6.0273368,15B
37.3715805,-6.0175065,14
37.392768,-6.0257047,17C
37.389435,-6.0274359,17A
37.3741933,-6.0275031,15A
37.3897574,-6.0239342,0B
37.3812556,-6.0368754,1B
37.3722627,-6.0938678,6
37.361023,-6.1375646,11
37.3596168,-6.3214965,28
37.238574,-7.4104923,131
37.1401604,-4.7293252,132
37.1986219,-4.7959802,123
37.2757866,-4.8084368,113
37.2787734,-7.2474397,117
37.3364913,-7.0189269,94
37.3006033,-7.2144333,113
37.3583307,-6.5375677,50
37.3343363,-6.7830931,nodo_247082038
37.3423243,-6.672999,60
37.3499897,-6.4164215,nodo_247082293
37.3567121,-6.9496246,87
37.3315617,-7.14785,105
37.3245396,-6.837342,75
37.3535917,-6.59362,53
37.3537772,-6.5644516,50
37.33138,-7.1621617,105
37.35565,-6.9653883,87
37.3589217,-6.3283833,28
37.3640067,-6.122725,9
37.3464914,-6.4271827,nodo_247084366
37.351055,-6.603295,53
37.29548,-7.2218687,113
37.323287,-7.0756722,99
37.3249466,-6.9108396,81
37.3228693,-6.8449114,75
37.2638838,-4.960905,97
37.2280168,-5.0948491,84
37.2285394,-5.1138778,82
37.2295977,-5.2600509,nodo_248098093
37.4829958,-5.6212804,504
37.4819686,-5.5557851,498
37.8101899,-4.8020174,nodo_248477208
37.8064689,-4.803997,nodo_248477218
37.7874176,-4.8145708,414
37.3600711,-6.1961837,16
37.4843593,-5.6521906,508
37.3437949,-5.8214076,12
37.4456119,-5.7834328,521
37.4474943,-5.7782252,521
37.3358604,-5.9210952,4B
37.3249141,-5.9025238,6
37.172208,-5.9092438,23
37.2555797,-5.568791,37
37.2559947,-5.5783209,37
37.250054,-5.5537091,40
37.2562268,-5.5385768,41
37.3473959,-5.8302696,nodo_249065618
37.3406537,-5.9776142,9
37.3377684,-5.9841092,545
37.2527961,-5.9290571,558
37.3609375,-6.2765088,23
37.3621416,-6.2679309,23
37.3822188,-6.0472067,2
37.3060489,-5.9824563,549
37.3031095,-5.9815543,nodo_249510577
37.2990229,-5.9795034,nodo_249510588
37.3159155,-5.9692269,549
37.3132991,-5.9695862,549
37.3537689,-6.3866883,34
37.3530249,-6.3932593,34
37.2470772,-5.8406151,16
37.2170971,-5.8118477,nodo_249547843
37.2510179,-5.5482209,40
37.2536747,-5.5614652,nodo_249550403
37.4722017,-5.6859992,511
37.4811988,-5.6111368,504
37.4799214,-5.660075,508
37.4888418,-5.6354269,506
37.2593682,-5.5356756,41
37.2839488,-5.6836277,27
37.3273047,-5.80923,15
37.3275344,-5.8014175,15
37.3120802,-5.749417,nodo_249567268
37.3143409,-5.7551239,nodo_249567328
37.3046659,-5.728934,23
37.3019346,-5.7195413,23
37.2573694,-5.6093752,nodo_249568050
37.2591016,-5.6151286,nodo_249568082
37.2649692,-5.6324749,nodo_249568801
37.266598,-5.6383038,nodo_249568856
37.2879207,-5.695451,nodo_249569346
37.290029,-5.7011012,nodo_249569414
37.3279764,-5.8156381,14
37.384052,-5.9413731,2
37.3862483,-5.9350903,nodo_249613175
37.3862737,-5.936146,0
37.3904491,-5.9423275,2
37.3979764,-5.9449477,1
37.3659394,-5.9452488,5
37.3567743,-5.9576078,6B
37.3596965,-5.9554944,0A
37.3591936,-5.9549771,0B
37.3580072,-5.952925,0B
37.3407775,-5.9721941,8B
